Caractere,Tabela 1,Tabela 2,Tabela 3,Tabela 4,Tabela 5,Tabela 6,Tabela 7,Tabela 8,Tabela 9,Tabela 10
 ,110010001110,100101100,00100011011,10101000101010,1100000111100,0011010,111110,001010011001011,1101111011,10001110
a,101100011111,011010011,00100000100,10111010100100,0100101010010,1111001,011010,101100101100001,0010110001,01110110
b,110100000001,001100111,10001000001,01101010110010,0100101010010,0001010,000100,000010101001101,1001110010,10111111
c,001010100010,011101100,11011100010,00000011100111,1001111101100,0000101,010011,111000001001000,1001101000,10110010
d,110110111000,000110001,01000001110,10110011010101,1001100000111,1110010,001001,111111101110010,0111101001,11100110
e,000011001100,011110000,10100100000,00101000100010,1000110010101,0000110,011000,111111011101010,1110011110,00001010
f,101000111001,001111011,01110001101,00101001001111,1001101111100,0100000,010101,010001000111011,1001011011,10100010
g,111010001100,011001011,11001100111,01101001001010,0111110001010,0101011,111110,100101010110001,0101010100,10000100
h,101001010100,011111111,00101101101,00001010010000,1100000110001,1101101,000010,101100000110000,0011110100,00001010
i,011110001000,110110100,00110001010,01000111111100,1011110111100,1101011,110011,110110100000010,0110001010,00101010
j,001010110000,101101010,10011111000,01011000110111,0011100100100,1001101,111110,110001100011101,1111001100,01101110
k,100100101111,100010010,01001110010,00000101011100,1000111001101,0001100,111011,011011110010111,1001000000,10001100
l,001100111000,000110010,00100110011,00111111111100,0000000001000,1000110,110110,001011111111010,0110001000,11000101
m,000000101101,010101010,01011111000,01001010010000,0011100011010,1111001,010001,111111001010101,1100111111,11011101
n,100111100100,010100011,10010000000,11111011001110,1110001101011,0100010,011011,010111100001000,1101100111,11011110
o,000111000010,100100010,01001111010,01011100101010,1110101011001,0101110,110101,001101011001011,0100001010,10001011
p,001111001011,111111000,11010101001,01101011010010,1101000100001,0111011,110111,110010110000101,0001010110,01110011
q,000010100101,001001110,01110001101,01000111011111,0010100101100,0110000,011100,010100000001111,0001010111,00101100
r,100001100011,111110010,00001100101,11010111101001,1111100001110,1001000,010010,001101111101000,0010101011,11110111
s,101011100111,101001111,01001001011,01001000011100,0101000110000,0111011,010011,110000001101001,0001011110,10101101
t,110110110001,010111110,10001110010,11101110001000,1111001101111,1110001,011101,010001101101011,1000100101,11010101
u,100010011101,100010010,11101111110,01100100111010,0101100001000,1111110,000010,011100011110110,1111010000,10000110
v,111101101001,001100011,01101110100,11110001001010,1000110100000,1001011,100000,100011111001000,0000010001,00100111
w,001010100001,011000110,00111010010,00011011011010,0110010100101,0111010,101010,001110100111111,0100011110,00101111
x,100011011011,101100101,00001000111,10111011111110,0100100000000,1010011,011001,110011100010010,0011010101,01001101
y,100111001001,101000111,10111110010,00010011011010,0110010101001,1000000,110001,110100011101110,0011101101,00000001
z,100111101011,010010101,01001000011,01101010001001,0010011110111,0100010,011010,010101100011010,0010011010,00000101
A,000000100001,101110100,10000010000,11110011110101,1111100010100,1010101,101001,111101010111110,1010100101,10111111
B,000001001100,101011001,11101111001,01111001011000,1011110100101,1101100,100001,011010011001000,1110000100,10011001
C,000011101110,010100010,01010100010,11001011010010,0110101011000,0001011,000001,000001101010001,0001001101,10111000
D,001100010100,101101110,11111011100,11111000010011,0111110011101,0100001,100010,111000100100110,1001010110,10011111
E,010011111001,111101110,01110010111,01101100110001,0111100001001,0110000,111011,010001100010011,1001100000,10010111
F,101100010000,000111110,11011010001,00100111000111,1111001100010,1000000,101010,111001000001110,0111010000,01110101
G,110111011001,000010111,11101111011,01001101001110,0101110011010,1100010,011101,000100111011010,0010111110,01011010
H,010000110000,000001000,00011000111,11101011011100,1010100111110,0101000,001001,011000110100000,0010001010,11110000
I,111110111010,111010000,10110110000,01001011101100,1000001010001,1010101,111001,100100111000100,1111001011,11000011
J,101011011100,100110010,10001011011,01001001011110,1101101101011,0011010,000010,110111011011111,0111001100,01100101
K,010010101000,101110111,10111101111,01001110011001,1000101100110,0100000,110101,011111110110000,1100100100,10001100
L,001101110101,001001000,10001011100,01101100101001,1011001010010,1001111,000011,100011110011111,1001101101,01110011
M,110100001011,111100001,11101001100,11000110101101,0000000010011,0110010,000001,010001000011100,1100111110,11111011
N,111110111100,100000101,01110111110,01011100000100,0100000111100,0111101,101000,010001001001110,0110001001,11101011
O,001000001001,111001001,10111011101,11101100000000,0100100110100,0100100,111111,011110101011101,0000001111,11001010
P,010110010011,011110101,11001011110,10001010100111,1100101111111,0010001,010001,101000110101001,1111110111,01110000
Q,000111010101,111001001,01001001101,10100110011111,1110110111011,0000111,111011,011101010110010,1001111111,01110101
R,110111001010,010111100,10000101101,01000000101101,0010110100101,1100000,010000,011111101001010,1011111010,01001001
S,101100100000,010000011,11100111010,10100100101111,1010000100011,1000100,001111,010010101000000,1110000111,00000000
T,101100011111,011000111,10100011101,00111111100110,1000110001010,1011100,101001,001000001001000,0001100000,10011000
U,110000011010,111110101,00001010101,00101100100000,1011010101101,0111110,001010,000011110011010,1101010001,10010010
V,001101111011,010011110,01000100110,10101011110111,1001111110100,1010110,000011,110001011001100,1111000111,01010101
W,110110011001,000111011,01100111110,01111010001000,1000111111110,0100100,000110,110000101111100,0011111110,00100101
X,110011101110,000011110,10111010001,10001100010001,1101101001001,0011001,011001,000010110001111,1111001101,01010101
Y,010110100011,111110000,01001011110,01010111001110,0100111011111,0010001,110010,110010110011011,0001101111,11000010
Z,101100010011,000011110,10111111100,10110110001110,1110001011010,1111010,011001,101111001100010,1110011101,00101001
0,101001111101,001111010,00101000000,10010110011100,0011101001100,1011001,100011,011111000000101,0110111101,11101010
1,010010110000,100011000,00010111011,01100011010100,1110011011000,0100000,100100,100111001101100,0001001011,00010000
2,100110101001,111011111,00110011010,10101100110100,1110000110011,0100001,110100,100111001100000,1011011001,11100011
3,101100000100,110000101,11000111010,00001010011101,1011100010010,1011101,000001,101111001011111,1000011100,10111011
4,011100011000,111000001,11011111011,01010101011000,1111101001000,0101000,000100,000100100111011,1110111111,01100000
5,110011001111,001111100,00111000000,10111011000111,1001010000010,1001101,100111,010100110011101,1000011011,01001111
6,000111111001,101111101,11110100100,00111001111010,0111111000011,1010011,100110,100001100100111,1110011100,01000111
7,011110100110,000111100,11111111000,10010101010111,0101010101100,1110001,000011,111111111001011,0101001111,10010001
8,000001001111,010000100,10000110110,11011011011100,1110101111100,0111101,000011,111100111111011,0001010110,10001011
9,000111110010,101101001,10001010101,10001010100101,1001001011100,0010101,110001,101111001111010,0001011001,01100101
!,011110101000,011110000,00000111010,10111110111110,1010010100011,1000001,010110,100010100011111,0011011001,01000011
"""",110001101100,111100110,01000111111,10001100111011,1101100001111,1101111,110001,010001111000001,0111110110,11011100
#,000000000011,101101111,10010110100,00100000100101,0000110111000,1010110,010011,101100010001111,1111011011,10011011
$,110100001110,100100110,10001101000,11100110110001,1101001000011,1010011,101100,101111110101000,0100100001,01000010
%,101011110111,001100111,11011111000,10000001011101,1100101111001,0010011,011001,110111011000011,0010011111,01101001
&,000010000110,101011000,11011110101,10000100000101,0101000111010,1110010,011101,000111101000000,1101011011,00101101
',010100111111,111010001,01100111101,00011101010100,1000010001001,1010011,111010,111110111101101,0110010010,11001000
(,101000101010,000001110,01011001011,01100010110011,1100110110010,0011000,100000,100100111000000,1010011100,10100111
),011001111010,011101111,00000010011,01101111110111,1011000100001,0000111,000110,001101000101000,0101011000,11001011
*,111101111110,010000011,00100111101,11000110010010,1100100000101,1110111,010111,000101100001000,1011111001,11001111
+,110010111001,001010110,10010110011,10110101100111,0100101011110,1100000,000011,101011100100010,1010011101,01000001
",",000101011000,101101110,01100000101,10010101010100,0001110001101,0111010,010000,011111011111011,1111000001,00000001
-,101101101010,111101010,11001111001,01101111001010,0001100110101,0111001,010011,010100101001010,0110100100,11100110
.,111001010011,111100100,11011010100,10011001100111,1001011011011,1100000,101100,001101100011101,0101111110,00010011
/,001000000110,000110010,11100101000,10110111101101,0101110000001,1110110,000001,100011001011100,0101101110,11101101
:,101010110100,011110010,11001100010,11101110110011,1000011100010,0110010,000000,011011011100000,0100001101,01000010
;,101011001111,100100101,01001011100,01010101011000,1101010010111,1100010,101100,001110100001011,0001101111,11001101
<,010000101011,001011101,10110111001,11101000001101,1101110010010,1000101,010010,001110101011101,0101000001,11000001
=,110000111011,110011101,10101000001,01100001111101,0110101111001,1000010,011110,001001110011110,0101011110,10000101
>,110001010010,010100001,10101001011,01000000110111,1000100100011,0001100,110010,111011100110100,1100001110,00010101
?,110000000110,000100010,11100111011,11101100100011,0010100111000,1011101,000000,110111110010011,1110011011,10101010
@,001000000110,100101001,01101101101,00110110010100,1101011100000,0100011,110001,011011000101001,1100010010,10110010
[,110011010110,000011110,00010011000,10010100011111,1001100101101,0110011,001110,110100110001110,0000110110,11111011
\,000000000100,000011100,00100111111,00111010010010,1100110010110,1111101,011011,101101000000010,0101110001,01001110
],000001111110,000011000,10110100001,11000001110111,0011100111000,1011010,111000,001100011111101,0101111001,01010011
^,011001101111,011000001,11111000010,10011000011011,1001101111101,0001100,011101,111111111010011,0110000010,00100111
_,101010101000,010110100,10111001101,11100101011101,1111111011100,1101000,010110,010001101000000,0110010110,11101011
`,011110101010,001100000,00001100100,10010110010011,1101001111000,1011111,010000,000111100110100,0110110001,00010111
{,100001111010,101000000,11111101011,11010000011011,1000011111100,1010001,010110,101100011101101,1100011010,11001000
|,000101101100,011101011,00000010100,10101101101000,1111011111010,0011001,011111,101100101001100,0111110100,10010010
},010001100100,001110011,01000000100,10001000000110,0110001011000,0101101,111111,101000110110011,0110010111,01111111
~,010001011011,101101101,11111011010,10111110110000,1101011101000,0111001,110101,110000001110001,1011111010,01010110
